100,-204
200,0
300,7088
400,6667
500,10305
600,14010
700,17738
800,17408
900,21126
1000,24698
1100,28416
1200,28160
1300,31926
1400,35402
1500,39135
1600,42777
1700,42248
1800,46080
1900,49408
2000,53248
